,Party,2019,2014,%2019,%2014,municipality
1,N-VA,2.413,2.433,"36,69%","36,36%",Kapelle-op-den-Bos
2,VLAAMS BELANG,1.121,321,"17,05%","4,80%",Kapelle-op-den-Bos
3,CD&V,878,1.087,"13,35%","16,24%",Kapelle-op-den-Bos
4,DéFI,17,-,"0,26%",-,Kapelle-op-den-Bos
5,FDF,-,17,-,"0,25%",Kapelle-op-den-Bos
6,PVDA,231,-,"3,51%",-,Kapelle-op-den-Bos
7,PVDA+,-,98,-,"1,46%",Kapelle-op-den-Bos
8,GROEN,552,453,"8,39%","6,77%",Kapelle-op-den-Bos
9,sp.a,715,948,"10,87%","14,17%",Kapelle-op-den-Bos
10,PRO,15,-,"0,23%",-,Kapelle-op-den-Bos
11,BUB Belgische Unie,23,-,"0,35%",-,Kapelle-op-den-Bos
12,ROSSEM,-,21,-,"0,31%",Kapelle-op-den-Bos
13,PP,-,9,-,"0,13%",Kapelle-op-den-Bos
14,B.U.B.-Belg.Unie,-,7,-,"0,10%",Kapelle-op-den-Bos
0,Open Vld,1.613,3.554,"12,64%","27,80%",Londerzeel
1,N-VA,4.562,4.039,"35,76%","31,59%",Londerzeel
2,VLAAMS BELANG,2.339,624,"18,33%","4,88%",Londerzeel
3,CD&V,1.885,2.230,"14,78%","17,44%",Londerzeel
4,DéFI,49,-,"0,38%",-,Londerzeel
5,FDF,-,26,-,"0,20%",Londerzeel
6,PVDA,374,-,"2,93%",-,Londerzeel
7,PVDA+,-,136,-,"1,06%",Londerzeel
8,GROEN,1.014,697,"7,95%","5,45%",Londerzeel
9,sp.a,798,1.410,"6,25%","11,03%",Londerzeel
10,PRO,75,-,"0,59%",-,Londerzeel
11,BUB Belgische Unie,49,-,"0,38%",-,Londerzeel
12,ROSSEM,-,27,-,"0,21%",Londerzeel
13,PP,-,24,-,"0,19%",Londerzeel
14,B.U.B.-Belg.Unie,-,19,-,"0,15%",Londerzeel
0,Open Vld,2.265,4.324,"17,99%","34,45%",Meise
1,N-VA,4.132,3.601,"32,83%","28,69%",Meise
2,VLAAMS BELANG,1.485,390,"11,80%","3,11%",Meise
3,CD&V,1.471,1.853,"11,69%","14,76%",Meise
4,DéFI,292,-,"2,32%",-,Meise
5,FDF,-,318,-,"2,53%",Meise
6,PVDA,474,-,"3,77%",-,Meise
7,PVDA+,-,155,-,"1,23%",Meise
8,GROEN,1.382,882,"10,98%","7,03%",Meise
9,sp.a,728,897,"5,78%","7,15%",Meise
10,PRO,222,-,"1,76%",-,Meise
11,BUB Belgische Unie,136,-,"1,08%",-,Meise
12,ROSSEM,-,29,-,"0,23%",Meise
13,PP,-,55,-,"0,44%",Meise
14,B.U.B.-Belg.Unie,-,47,-,"0,37%",Meise
0,Open Vld,45,232,"6,87%","33,62%",Drogenbos
1,N-VA,135,102,"20,61%","14,78%",Drogenbos
2,VLAAMS BELANG,65,20,"9,92%","2,90%",Drogenbos
3,CD&V,63,76,"9,62%","11,01%",Drogenbos
4,DéFI,114,-,"17,40%",-,Drogenbos
5,FDF,-,118,-,"17,10%",Drogenbos
6,PVDA,34,-,"5,19%",-,Drogenbos
7,PVDA+,-,8,-,"1,16%",Drogenbos
8,GROEN,131,69,"20,00%","10,00%",Drogenbos
9,sp.a,42,44,"6,41%","6,38%",Drogenbos
10,PRO,8,-,"1,22%",-,Drogenbos
11,BUB Belgische Unie,18,-,"2,75%",-,Drogenbos
12,ROSSEM,-,1,-,"0,14%",Drogenbos
13,PP,-,11,-,"1,59%",Drogenbos
14,B.U.B.-Belg.Unie,-,9,-,"1,30%",Drogenbos
0,Open Vld,415,660,"22,20%","31,67%",Kraainem
1,N-VA,384,372,"20,55%","17,85%",Kraainem
2,VLAAMS BELANG,80,35,"4,28%","1,68%",Kraainem
3,CD&V,168,237,"8,99%","11,37%",Kraainem
4,DéFI,368,-,"19,69%",-,Kraainem
5,FDF,-,486,-,"23,32%",Kraainem
6,PVDA,37,-,"1,98%",-,Kraainem
7,PVDA+,-,7,-,"0,34%",Kraainem
8,GROEN,330,143,"17,66%","6,86%",Kraainem
9,sp.a,66,124,"3,53%","5,95%",Kraainem
10,PRO,2,-,"0,11%",-,Kraainem
11,BUB Belgische Unie,19,-,"1,02%",-,Kraainem
12,ROSSEM,-,1,-,"0,05%",Kraainem
13,PP,-,6,-,"0,29%",Kraainem
14,B.U.B.-Belg.Unie,-,13,-,"0,62%",Kraainem
0,Open Vld,71,131,"9,70%","25,69%",Linkebeek
1,N-VA,129,95,"17,62%","18,63%",Linkebeek
2,VLAAMS BELANG,27,15,"3,69%","2,94%",Linkebeek
3,CD&V,38,60,"5,19%","11,76%",Linkebeek
4,DéFI,181,-,"24,73%",-,Linkebeek
5,FDF,-,85,-,"16,67%",Linkebeek
6,PVDA,23,-,"3,14%",-,Linkebeek
7,PVDA+,-,12,-,"2,35%",Linkebeek
8,GROEN,231,78,"31,56%","15,29%",Linkebeek
9,sp.a,22,28,"3,01%","5,49%",Linkebeek
10,PRO,1,-,"0,14%",-,Linkebeek
11,BUB Belgische Unie,9,-,"1,23%",-,Linkebeek
12,ROSSEM,-,0,-,"0,00%",Linkebeek
13,PP,-,5,-,"0,98%",Linkebeek
14,B.U.B.-Belg.Unie,-,1,-,"0,20%",Linkebeek
0,Open Vld,507,907,"14,85%","29,48%",Rode-Saint-Genese
1,N-VA,1.159,815,"33,95%","26,49%",Rode-Saint-Genese
2,VLAAMS BELANG,264,74,"7,73%","2,40%",Rode-Saint-Genese
3,CD&V,362,436,"10,60%","14,17%",Rode-Saint-Genese
4,DéFI,316,-,"9,26%",-,Rode-Saint-Genese
5,FDF,-,319,-,"10,37%",Rode-Saint-Genese
6,PVDA,76,-,"2,23%",-,Rode-Saint-Genese
7,PVDA+,-,35,-,"1,14%",Rode-Saint-Genese
8,GROEN,510,243,"14,94%","7,90%",Rode-Saint-Genese
9,sp.a,181,204,"5,30%","6,63%",Rode-Saint-Genese
10,PRO,8,-,"0,23%",-,Rode-Saint-Genese
11,BUB Belgische Unie,31,-,"0,91%",-,Rode-Saint-Genese
12,ROSSEM,-,3,-,"0,10%",Rode-Saint-Genese
13,PP,-,27,-,"0,88%",Rode-Saint-Genese
14,B.U.B.-Belg.Unie,-,14,-,"0,45%",Rode-Saint-Genese
0,Open Vld,835,1.380,"19,52%","40,03%",Wemmel
1,N-VA,1.476,801,"34,50%","23,24%",Wemmel
2,VLAAMS BELANG,371,76,"8,67%","2,20%",Wemmel
3,CD&V,355,379,"8,30%","11,00%",Wemmel
4,DéFI,281,-,"6,57%",-,Wemmel
5,FDF,-,220,-,"6,38%",Wemmel
6,PVDA,143,-,"3,34%",-,Wemmel
7,PVDA+,-,37,-,"1,07%",Wemmel
8,GROEN,510,308,"11,92%","8,94%",Wemmel
9,sp.a,248,195,"5,80%","5,66%",Wemmel
10,PRO,19,-,"0,44%",-,Wemmel
11,BUB Belgische Unie,40,-,"0,94%",-,Wemmel
12,ROSSEM,-,2,-,"0,06%",Wemmel
13,PP,-,29,-,"0,84%",Wemmel
14,B.U.B.-Belg.Unie,-,20,-,"0,58%",Wemmel
0,Open Vld,398,756,"16,66%","26,67%",Wezembeek-Oppem
1,N-VA,576,593,"24,11%","20,92%",Wezembeek-Oppem
2,VLAAMS BELANG,141,63,"5,90%","2,22%",Wezembeek-Oppem
3,CD&V,229,355,"9,59%","12,52%",Wezembeek-Oppem
4,DéFI,412,-,"17,25%",-,Wezembeek-Oppem
5,FDF,-,583,-,"20,56%",Wezembeek-Oppem
6,PVDA,48,-,"2,01%",-,Wezembeek-Oppem
7,PVDA+,-,41,-,"1,45%",Wezembeek-Oppem
8,GROEN,444,216,"18,59%","7,62%",Wezembeek-Oppem
9,sp.a,116,197,"4,86%","6,95%",Wezembeek-Oppem
10,PRO,3,-,"0,13%",-,Wezembeek-Oppem
11,BUB Belgische Unie,22,-,"0,92%",-,Wezembeek-Oppem
12,ROSSEM,-,0,-,"0,00%",Wezembeek-Oppem
13,PP,-,12,-,"0,42%",Wezembeek-Oppem
14,B.U.B.-Belg.Unie,-,19,-,"0,67%",Wezembeek-Oppem
0,Open Vld,805,1.531,"13,04%","22,93%",Boutersem
1,N-VA,1.896,1.788,"30,70%","26,78%",Boutersem
2,VLAAMS BELANG,635,236,"10,28%","3,53%",Boutersem
3,CD&V,902,1.103,"14,61%","16,52%",Boutersem
4,DéFI,10,-,"0,16%",-,Boutersem
5,FDF,-,74,-,"1,11%",Boutersem
6,PVDA,255,-,"4,13%",-,Boutersem
7,PVDA+,-,137,-,"2,05%",Boutersem
8,GROEN,891,746,"14,43%","11,17%",Boutersem
9,sp.a,735,1.007,"11,90%","15,08%",Boutersem
10,PRO,16,-,"0,26%",-,Boutersem
11,BUB Belgische Unie,30,-,"0,49%",-,Boutersem
12,ROSSEM,-,21,-,"0,31%",Boutersem
13,PP,-,13,-,"0,19%",Boutersem
14,B.U.B.-Belg.Unie,-,21,-,"0,31%",Boutersem
0,Open Vld,719,1.601,"14,79%","27,93%",Hoegaarden
1,N-VA,1.274,1.412,"26,21%","24,63%",Hoegaarden
2,VLAAMS BELANG,543,208,"11,17%","3,63%",Hoegaarden
3,CD&V,972,1.016,"20,00%","17,72%",Hoegaarden
4,DéFI,18,-,"0,37%",-,Hoegaarden
5,FDF,-,65,-,"1,13%",Hoegaarden
6,PVDA,268,-,"5,51%",-,Hoegaarden
7,PVDA+,-,115,-,"2,01%",Hoegaarden
8,GROEN,590,653,"12,14%","11,39%",Hoegaarden
9,sp.a,433,592,"8,91%","10,33%",Hoegaarden
10,PRO,13,-,"0,27%",-,Hoegaarden
11,BUB Belgische Unie,30,-,"0,62%",-,Hoegaarden
12,ROSSEM,-,39,-,"0,68%",Hoegaarden
13,PP,-,7,-,"0,12%",Hoegaarden
14,B.U.B.-Belg.Unie,-,25,-,"0,44%",Hoegaarden
0,Open Vld,3.728,6.003,"13,81%","25,55%",Tienen
1,N-VA,7.176,6.141,"26,58%","26,14%",Tienen
2,VLAAMS BELANG,4.049,1.371,"15,00%","5,84%",Tienen
3,CD&V,3.469,3.326,"12,85%","14,16%",Tienen
4,DéFI,191,-,"0,71%",-,Tienen
5,FDF,-,118,-,"0,50%",Tienen
6,PVDA,1.351,-,"5,00%",-,Tienen
7,PVDA+,-,493,-,"2,10%",Tienen
8,GROEN,3.364,1.990,"12,46%","8,47%",Tienen
9,sp.a,3.375,3.790,"12,50%","16,13%",Tienen
10,PRO,59,-,"0,22%",-,Tienen
11,BUB Belgische Unie,238,-,"0,88%",-,Tienen
12,ROSSEM,-,138,-,"0,59%",Tienen
13,PP,-,48,-,"0,20%",Tienen
14,B.U.B.-Belg.Unie,-,77,-,"0,33%",Tienen
0,Open Vld,1.622,2.077,"19,96%","27,10%",Kampenhout
1,N-VA,2.590,2.577,"31,87%","33,63%",Kampenhout
2,VLAAMS BELANG,1.282,352,"15,78%","4,59%",Kampenhout
3,CD&V,991,1.275,"12,20%","16,64%",Kampenhout
4,DéFI,59,-,"0,73%",-,Kampenhout
5,FDF,-,45,-,"0,59%",Kampenhout
6,PVDA,310,-,"3,81%",-,Kampenhout
7,PVDA+,-,107,-,"1,40%",Kampenhout
8,GROEN,770,592,"9,48%","7,73%",Kampenhout
9,sp.a,428,577,"5,27%","7,53%",Kampenhout
10,PRO,27,-,"0,33%",-,Kampenhout
11,BUB Belgische Unie,47,-,"0,58%",-,Kampenhout
12,ROSSEM,-,21,-,"0,27%",Kampenhout
13,PP,-,15,-,"0,20%",Kampenhout
14,B.U.B.-Belg.Unie,-,25,-,"0,33%",Kampenhout
0,Open Vld,855,1.661,"10,53%","21,33%",Machelen
1,N-VA,1.851,1.809,"22,80%","23,23%",Machelen
2,VLAAMS BELANG,838,330,"10,32%","4,24%",Machelen
3,CD&V,1.062,964,"13,08%","12,38%",Machelen
4,DéFI,354,-,"4,36%",-,Machelen
5,FDF,-,355,-,"4,56%",Machelen
6,PVDA,785,-,"9,67%",-,Machelen
7,PVDA+,-,176,-,"2,26%",Machelen
8,GROEN,860,595,"10,59%","7,64%",Machelen
9,sp.a,1.400,1.776,"17,25%","22,81%",Machelen
10,PRO,30,-,"0,37%",-,Machelen
11,BUB Belgische Unie,83,-,"1,02%",-,Machelen
12,ROSSEM,-,20,-,"0,26%",Machelen
13,PP,-,34,-,"0,44%",Machelen
14,B.U.B.-Belg.Unie,-,67,-,"0,86%",Machelen
0,Open Vld,3.134,5.014,"13,53%","22,68%",Vilvoorde
1,N-VA,4.451,4.670,"19,21%","21,12%",Vilvoorde
2,VLAAMS BELANG,2.733,1.070,"11,79%","4,84%",Vilvoorde
3,CD&V,1.796,2.239,"7,75%","10,13%",Vilvoorde
4,DéFI,1.313,-,"5,67%",-,Vilvoorde
5,FDF,-,1.261,-,"5,70%",Vilvoorde
6,PVDA,2.269,-,"9,79%",-,Vilvoorde
7,PVDA+,-,558,-,"2,52%",Vilvoorde
8,GROEN,2.750,1.727,"11,87%","7,81%",Vilvoorde
9,sp.a,4.327,5.175,"18,67%","23,41%",Vilvoorde
10,PRO,134,-,"0,58%",-,Vilvoorde
11,BUB Belgische Unie,264,-,"1,14%",-,Vilvoorde
12,ROSSEM,-,71,-,"0,32%",Vilvoorde
13,PP,-,133,-,"0,60%",Vilvoorde
14,B.U.B.-Belg.Unie,-,190,-,"0,86%",Vilvoorde
0,Open Vld,2.292,3.080,"14,45%","20,13%",Zemst
1,N-VA,5.028,5.541,"31,70%","36,22%",Zemst
2,VLAAMS BELANG,2.457,850,"15,49%","5,56%",Zemst
3,CD&V,2.245,2.561,"14,16%","16,74%",Zemst
4,DéFI,58,-,"0,37%",-,Zemst
5,FDF,-,45,-,"0,29%",Zemst
6,PVDA,738,-,"4,65%",-,Zemst
7,PVDA+,-,273,-,"1,78%",Zemst
8,GROEN,1.624,1.265,"10,24%","8,27%",Zemst
9,sp.a,1.265,1.563,"7,98%","10,22%",Zemst
10,PRO,108,-,"0,68%",-,Zemst
11,BUB Belgische Unie,45,-,"0,28%",-,Zemst
12,ROSSEM,-,43,-,"0,28%",Zemst
13,PP,-,51,-,"0,33%",Zemst
14,B.U.B.-Belg.Unie,-,28,-,"0,18%",Zemst
0,Open Vld,2.401,2.514,"37,79%","41,76%",Hoeilaart
1,N-VA,1.247,1.158,"19,63%","19,24%",Hoeilaart
2,VLAAMS BELANG,345,120,"5,43%","1,99%",Hoeilaart
3,CD&V,605,760,"9,52%","12,62%",Hoeilaart
4,DéFI,228,-,"3,59%",-,Hoeilaart
5,FDF,-,357,-,"5,93%",Hoeilaart
6,PVDA,225,-,"3,54%",-,Hoeilaart
7,PVDA+,-,88,-,"1,46%",Hoeilaart
8,GROEN,966,581,"15,20%","9,65%",Hoeilaart
9,sp.a,268,369,"4,22%","6,13%",Hoeilaart
10,PRO,28,-,"0,44%",-,Hoeilaart
11,BUB Belgische Unie,41,-,"0,65%",-,Hoeilaart
12,ROSSEM,-,4,-,"0,07%",Hoeilaart
13,PP,-,31,-,"0,51%",Hoeilaart
14,B.U.B.-Belg.Unie,-,38,-,"0,63%",Hoeilaart
0,Open Vld,3.956,4.578,"28,41%","34,09%",Overijse
1,N-VA,3.441,3.288,"24,71%","24,48%",Overijse
2,VLAAMS BELANG,1.106,386,"7,94%","2,87%",Overijse
3,CD&V,1.477,1.798,"10,61%","13,39%",Overijse
4,DéFI,915,-,"6,57%",-,Overijse
5,FDF,-,1.157,-,"8,61%",Overijse
6,PVDA,352,-,"2,53%",-,Overijse
7,PVDA+,-,123,-,"0,92%",Overijse
8,GROEN,1.886,1.112,"13,55%","8,28%",Overijse
9,sp.a,598,831,"4,30%","6,19%",Overijse
10,PRO,38,-,"0,27%",-,Overijse
11,BUB Belgische Unie,154,-,"1,11%",-,Overijse
12,ROSSEM,-,10,-,"0,07%",Overijse
13,PP,-,48,-,"0,36%",Overijse
14,B.U.B.-Belg.Unie,-,100,-,"0,74%",Overijse
0,Open Vld,1.084,1.884,"13,91%","24,74%",Steenokkerzeel
1,N-VA,2.959,2.844,"37,97%","37,34%",Steenokkerzeel
2,VLAAMS BELANG,1.151,389,"14,77%","5,11%",Steenokkerzeel
3,CD&V,756,978,"9,70%","12,84%",Steenokkerzeel
4,DéFI,112,-,"1,44%",-,Steenokkerzeel
5,FDF,-,111,-,"1,46%",Steenokkerzeel
6,PVDA,322,-,"4,13%",-,Steenokkerzeel
7,PVDA+,-,95,-,"1,25%",Steenokkerzeel
8,GROEN,737,510,"9,46%","6,70%",Steenokkerzeel
9,sp.a,613,748,"7,87%","9,82%",Steenokkerzeel
10,PRO,9,-,"0,12%",-,Steenokkerzeel
11,BUB Belgische Unie,51,-,"0,65%",-,Steenokkerzeel
12,ROSSEM,-,19,-,"0,25%",Steenokkerzeel
13,PP,-,18,-,"0,24%",Steenokkerzeel
14,B.U.B.-Belg.Unie,-,20,-,"0,26%",Steenokkerzeel
0,Open Vld,3.155,4.374,"18,80%","26,45%",Zaventem
1,N-VA,3.971,3.709,"23,66%","22,43%",Zaventem
2,VLAAMS BELANG,1.271,510,"7,57%","3,08%",Zaventem
3,CD&V,1.755,2.184,"10,46%","13,21%",Zaventem
4,DéFI,1.835,-,"10,93%",-,Zaventem
5,FDF,-,1.869,-,"11,30%",Zaventem
6,PVDA,996,-,"5,93%",-,Zaventem
7,PVDA+,-,318,-,"1,92%",Zaventem
8,GROEN,2.234,1.442,"13,31%","8,72%",Zaventem
9,sp.a,1.229,1.807,"7,32%","10,93%",Zaventem
10,PRO,101,-,"0,60%",-,Zaventem
11,BUB Belgische Unie,239,-,"1,42%",-,Zaventem
12,ROSSEM,-,41,-,"0,25%",Zaventem
13,PP,-,114,-,"0,69%",Zaventem
14,B.U.B.-Belg.Unie,-,170,-,"1,03%",Zaventem
0,ECOLO,1.797,1.031,"18,79%","10,81%",Genappe
1,CDH,829,1.194,"8,67%","12,52%",Genappe
2,MR,3.289,3.763,"34,39%","39,45%",Genappe
3,PARTI POPULAIRE,266,434,"2,78%","4,55%",Genappe
4,VLAAMS BELANG,67,-,"0,70%",-,Genappe
5,DéFI,552,-,"5,77%",-,Genappe
6,FDF,-,403,-,"4,23%",Genappe
7,PTB,731,-,"7,64%",-,Genappe
8,PTB-GO !,-,242,-,"2,54%",Genappe
9,LISTES DESTEXHE,228,-,"2,38%",-,Genappe
10,PS,1.505,2.055,"15,74%","21,55%",Genappe
11,LA DROITE,52,123,"0,54%","1,29%",Genappe
12,Collectif Citoyen,151,-,"1,58%",-,Genappe
13,Turquoise,22,-,"0,23%",-,Genappe
14,WALLONIE INSOUMISE,75,-,"0,78%",-,Genappe
15,MG,-,7,-,"0,07%",Genappe
16,DEBOUT LES BELGES,-,125,-,"1,31%",Genappe
17,B.U.B.-Belg.Unie,-,28,-,"0,29%",Genappe
18,R.W.F.,-,46,-,"0,48%",Genappe
19,VLC,-,8,-,"0,08%",Genappe
20,MOVE,-,18,-,"0,19%",Genappe
21,NWA,-,23,-,"0,24%",Genappe
22,NATION,-,38,-,"0,40%",Genappe
0,ECOLO,1.341,764,"19,45%","11,36%",Villers-la-Ville
1,CDH,423,673,"6,14%","10,00%",Villers-la-Ville
2,MR,2.862,3.085,"41,52%","45,85%",Villers-la-Ville
3,PARTI POPULAIRE,136,287,"1,97%","4,27%",Villers-la-Ville
4,VLAAMS BELANG,36,-,"0,52%",-,Villers-la-Ville
5,DéFI,341,-,"4,95%",-,Villers-la-Ville
6,FDF,-,233,-,"3,46%",Villers-la-Ville
7,PTB,528,-,"7,66%",-,Villers-la-Ville
8,PTB-GO !,-,193,-,"2,87%",Villers-la-Ville
9,LISTES DESTEXHE,150,-,"2,18%",-,Villers-la-Ville
10,PS,887,1.236,"12,87%","18,37%",Villers-la-Ville
11,LA DROITE,40,51,"0,58%","0,76%",Villers-la-Ville
12,Collectif Citoyen,73,-,"1,06%",-,Villers-la-Ville
13,Turquoise,12,-,"0,17%",-,Villers-la-Ville
14,WALLONIE INSOUMISE,64,-,"0,93%",-,Villers-la-Ville
15,MG,-,4,-,"0,06%",Villers-la-Ville
16,DEBOUT LES BELGES,-,94,-,"1,40%",Villers-la-Ville
17,B.U.B.-Belg.Unie,-,17,-,"0,25%",Villers-la-Ville
18,R.W.F.,-,34,-,"0,51%",Villers-la-Ville
19,VLC,-,4,-,"0,06%",Villers-la-Ville
20,MOVE,-,12,-,"0,18%",Villers-la-Ville
21,NWA,-,13,-,"0,19%",Villers-la-Ville
22,NATION,-,28,-,"0,42%",Villers-la-Ville
0,ECOLO,885,523,"19,26%","11,49%",Beauvechain
1,CDH,329,707,"7,16%","15,53%",Beauvechain
2,MR,1.936,1.937,"42,14%","42,54%",Beauvechain
3,PARTI POPULAIRE,100,160,"2,18%","3,51%",Beauvechain
4,VLAAMS BELANG,80,-,"1,74%",-,Beauvechain
5,DéFI,211,-,"4,59%",-,Beauvechain
6,FDF,-,145,-,"3,18%",Beauvechain
7,PTB,254,-,"5,53%",-,Beauvechain
8,PTB-GO !,-,93,-,"2,04%",Beauvechain
9,LISTES DESTEXHE,90,-,"1,96%",-,Beauvechain
10,PS,587,821,"12,78%","18,03%",Beauvechain
11,LA DROITE,21,23,"0,46%","0,51%",Beauvechain
12,Collectif Citoyen,47,-,"1,02%",-,Beauvechain
13,Turquoise,10,-,"0,22%",-,Beauvechain
14,WALLONIE INSOUMISE,44,-,"0,96%",-,Beauvechain
15,MG,-,5,-,"0,11%",Beauvechain
16,DEBOUT LES BELGES,-,65,-,"1,43%",Beauvechain
17,B.U.B.-Belg.Unie,-,10,-,"0,22%",Beauvechain
18,R.W.F.,-,18,-,"0,40%",Beauvechain
19,VLC,-,4,-,"0,09%",Beauvechain
20,MOVE,-,19,-,"0,42%",Beauvechain
21,NWA,-,6,-,"0,13%",Beauvechain
22,NATION,-,17,-,"0,37%",Beauvechain
0,ECOLO,235,147,"10,58%","6,92%",Helecine
1,CDH,471,351,"21,20%","16,53%",Helecine
2,MR,524,715,"23,58%","33,68%",Helecine
3,PARTI POPULAIRE,58,86,"2,61%","4,05%",Helecine
4,VLAAMS BELANG,39,-,"1,76%",-,Helecine
5,DéFI,83,-,"3,74%",-,Helecine
6,FDF,-,67,-,"3,16%",Helecine
7,PTB,204,-,"9,18%",-,Helecine
8,PTB-GO !,-,51,-,"2,40%",Helecine
9,LISTES DESTEXHE,35,-,"1,58%",-,Helecine
10,PS,504,604,"22,68%","28,45%",Helecine
11,LA DROITE,17,24,"0,77%","1,13%",Helecine
12,Collectif Citoyen,25,-,"1,13%",-,Helecine
13,Turquoise,3,-,"0,14%",-,Helecine
14,WALLONIE INSOUMISE,24,-,"1,08%",-,Helecine
15,MG,-,0,-,"0,00%",Helecine
16,DEBOUT LES BELGES,-,35,-,"1,65%",Helecine
17,B.U.B.-Belg.Unie,-,8,-,"0,38%",Helecine
18,R.W.F.,-,7,-,"0,33%",Helecine
19,VLC,-,1,-,"0,05%",Helecine
20,MOVE,-,7,-,"0,33%",Helecine
21,NWA,-,4,-,"0,19%",Helecine
22,NATION,-,16,-,"0,75%",Helecine
0,ECOLO,564,333,"16,48%","10,09%",Incourt
1,CDH,240,324,"7,01%","9,82%",Incourt
2,MR,1.248,1.367,"36,47%","41,42%",Incourt
3,PARTI POPULAIRE,80,132,"2,34%","4,00%",Incourt
4,VLAAMS BELANG,28,-,"0,82%",-,Incourt
5,DéFI,196,-,"5,73%",-,Incourt
6,FDF,-,122,-,"3,70%",Incourt
7,PTB,256,-,"7,48%",-,Incourt
8,PTB-GO !,-,102,-,"3,09%",Incourt
9,LISTES DESTEXHE,66,-,"1,93%",-,Incourt
10,PS,629,805,"18,38%","24,39%",Incourt
11,LA DROITE,23,31,"0,67%","0,94%",Incourt
12,Collectif Citoyen,50,-,"1,46%",-,Incourt
13,Turquoise,10,-,"0,29%",-,Incourt
14,WALLONIE INSOUMISE,32,-,"0,94%",-,Incourt
15,MG,-,7,-,"0,21%",Incourt
16,DEBOUT LES BELGES,-,38,-,"1,15%",Incourt
17,B.U.B.-Belg.Unie,-,14,-,"0,42%",Incourt
18,R.W.F.,-,12,-,"0,36%",Incourt
19,VLC,-,2,-,"0,06%",Incourt
20,MOVE,-,4,-,"0,12%",Incourt
21,NWA,-,2,-,"0,06%",Incourt
22,NATION,-,5,-,"0,15%",Incourt
0,ECOLO,1.291,802,"14,82%","9,28%",Jodoigne
1,CDH,619,705,"7,10%","8,16%",Jodoigne
2,MR,3.460,4.282,"39,71%","49,56%",Jodoigne
3,PARTI POPULAIRE,236,293,"2,71%","3,39%",Jodoigne
4,VLAAMS BELANG,103,-,"1,18%",-,Jodoigne
5,DéFI,330,-,"3,79%",-,Jodoigne
6,FDF,-,270,-,"3,13%",Jodoigne
7,PTB,766,-,"8,79%",-,Jodoigne
8,PTB-GO !,-,189,-,"2,19%",Jodoigne
9,LISTES DESTEXHE,191,-,"2,19%",-,Jodoigne
10,PS,1.442,1.783,"16,55%","20,64%",Jodoigne
11,LA DROITE,60,78,"0,69%","0,90%",Jodoigne
12,Collectif Citoyen,108,-,"1,24%",-,Jodoigne
13,Turquoise,29,-,"0,33%",-,Jodoigne
14,WALLONIE INSOUMISE,79,-,"0,91%",-,Jodoigne
15,MG,-,6,-,"0,07%",Jodoigne
16,DEBOUT LES BELGES,-,129,-,"1,49%",Jodoigne
17,B.U.B.-Belg.Unie,-,24,-,"0,28%",Jodoigne
18,R.W.F.,-,26,-,"0,30%",Jodoigne
19,VLC,-,5,-,"0,06%",Jodoigne
20,MOVE,-,8,-,"0,09%",Jodoigne
21,NWA,-,12,-,"0,14%",Jodoigne
22,NATION,-,28,-,"0,32%",Jodoigne
0,ECOLO,895,500,"15,93%","9,22%",Orp-Jauche
1,CDH,510,544,"9,08%","10,03%",Orp-Jauche
2,MR,1.591,1.947,"28,32%","35,90%",Orp-Jauche
3,PARTI POPULAIRE,196,212,"3,49%","3,91%",Orp-Jauche
4,VLAAMS BELANG,48,-,"0,85%",-,Orp-Jauche
5,DéFI,301,-,"5,36%",-,Orp-Jauche
6,FDF,-,188,-,"3,47%",Orp-Jauche
7,PTB,583,-,"10,38%",-,Orp-Jauche
8,PTB-GO !,-,158,-,"2,91%",Orp-Jauche
9,LISTES DESTEXHE,114,-,"2,03%",-,Orp-Jauche
10,PS,1.201,1.613,"21,38%","29,74%",Orp-Jauche
11,LA DROITE,34,59,"0,61%","1,09%",Orp-Jauche
12,Collectif Citoyen,59,-,"1,05%",-,Orp-Jauche
13,Turquoise,15,-,"0,27%",-,Orp-Jauche
14,WALLONIE INSOUMISE,70,-,"1,25%",-,Orp-Jauche
15,MG,-,5,-,"0,09%",Orp-Jauche
16,DEBOUT LES BELGES,-,85,-,"1,57%",Orp-Jauche
17,B.U.B.-Belg.Unie,-,27,-,"0,50%",Orp-Jauche
18,R.W.F.,-,31,-,"0,57%",Orp-Jauche
19,VLC,-,2,-,"0,04%",Orp-Jauche
20,MOVE,-,11,-,"0,20%",Orp-Jauche
21,NWA,-,17,-,"0,31%",Orp-Jauche
22,NATION,-,24,-,"0,44%",Orp-Jauche
0,ECOLO,746,423,"17,86%","10,78%",Ramillies
1,CDH,347,434,"8,31%","11,06%",Ramillies
2,MR,1.354,1.471,"32,42%","37,49%",Ramillies
3,PARTI POPULAIRE,114,202,"2,73%","5,15%",Ramillies
4,VLAAMS BELANG,36,-,"0,86%",-,Ramillies
5,DéFI,279,-,"6,68%",-,Ramillies
6,FDF,-,167,-,"4,26%",Ramillies
7,PTB,332,-,"7,95%",-,Ramillies
8,PTB-GO !,-,83,-,"2,12%",Ramillies
9,LISTES DESTEXHE,110,-,"2,63%",-,Ramillies
10,PS,719,984,"17,21%","25,08%",Ramillies
11,LA DROITE,30,38,"0,72%","0,97%",Ramillies
12,Collectif Citoyen,48,-,"1,15%",-,Ramillies
